,rank,lemma,PoS,freq,perMil,%caps,%allC,range,disp,blog,web,TVM,spok,fic,mag,news,acad,blogPM,webPM,TVMPM,spokPM,ficPM,magPM,newsPM,acadPM
1,2,be,v,32394756,32622.71,0.03,0.01,481177,0.99,5594001,5325829,8029744,7025941,4412160,4193720,4102481,3689062,45020.81,41409.63,62695.87,55701.5,37289.4,33259.44,33698.16,30795.96
10,11,have,v,10514314,10588.23,0.02,0.01,458950,0.99,1633029,1525515,1761082,1902874,1807548,1335863,1411100,937640,13142.7,11861.25,13750.45,15085.94,15276.51,10594.43,11590.91,7827.33
14,15,do,v,8186412,8244.7,0.1,0.01,415641,0.98,1052753,885912,2349422,1472318,953133,594683,557889,321166,8472.61,6888.18,18344.18,11672.5,8055.41,4716.3,4582.55,2681.07
25,26,say,v,4096416,4125.2,0.01,0.0,355982,0.96,365725,376193,416028,668832,720418,470527,977583,101110,2943.37,2924.99,3248.33,5302.49,6088.62,3731.64,8029.96,844.06
30,31,go,v,3546732,3571.65,0.05,0.01,343215,0.97,339741,295217,1156190,777636,420691,232137,259263,65857,2734.25,2295.38,9027.48,6165.08,3555.47,1841.03,2129.61,549.77
33,34,get,v,3347615,3371.14,0.07,0.01,342423,0.98,396016,324041,1120107,561979,371205,261423,262378,50466,3187.16,2519.5,8745.74,4455.36,3137.24,2073.29,2155.2,421.29
36,37,can,v,3091046,3113.52,0.06,0.01,372375,0.99,464677,431094,672390,391893,241956,369020,251339,269429,3739.74,3351.86,5249.99,3106.92,2044.89,2926.61,2064.52,2249.17
38,39,know,v,2761628,2781.03,0.02,0.01,311250,0.96,257222,234438,869416,647206,367114,165205,145809,75218,2070.14,1822.81,6788.36,5131.03,3102.67,1310.2,1197.69,627.91
46,47,will,v,2372215,2391.52,0.03,0.01,378558,0.98,516879,471475,738130,452535,294869,349910,369056,174365,4159.87,3665.83,5763.28,3587.69,2492.09,2775.06,3031.46,1455.58
48,49,would,v,2349400,2365.91,0.03,0.0,326647,0.98,363538,321852,285080,345640,366729,231625,247188,187748,2925.77,2502.48,2225.89,2740.23,3099.41,1836.97,2030.43,1567.3
49,50,make,v,2290830,2306.93,0.04,0.01,373164,0.99,354762,331100,309638,288675,261210,308968,257859,178618,2855.14,2574.38,2417.64,2288.61,2207.62,2450.35,2118.08,1491.09
52,53,think,v,2077762,2092.36,0.03,0.01,279321,0.96,277523,212045,481246,538936,262491,125111,127956,52454,2233.52,1648.7,3757.55,4272.67,2218.44,992.23,1051.04,437.88
55,56,see,v,1958700,1972.46,0.07,0.01,316886,0.99,235722,221834,412539,299059,314598,174887,145682,154379,1897.1,1724.81,3221.09,2370.93,2658.83,1386.99,1196.65,1288.74
60,61,come,v,1802158,1814.82,0.14,0.01,311577,0.98,171016,168302,521251,295282,266614,156763,155514,67416,1376.35,1308.59,4069.9,2340.99,2253.29,1243.25,1277.41,562.78
62,63,take,v,1768822,1780.53,0.06,0.01,340154,0.99,218772,214958,325775,250384,255469,199624,189159,113963,1760.69,1671.35,2543.64,1985.04,2159.1,1583.17,1553.77,951.35
67,68,want,v,1671524,1683.27,0.03,0.01,274583,0.99,200580,172649,504967,294589,203226,126328,131140,38045,1614.28,1342.39,3942.76,2335.49,1717.57,1001.88,1077.2,317.6
74,75,could,v,1529795,1540.54,0.03,0.0,295499,0.98,172936,166121,247799,180303,333318,164533,152742,112043,1391.8,1291.63,1934.8,1429.44,2817.04,1304.87,1254.64,935.32
80,81,look,v,1338475,1347.88,0.16,0.01,259517,0.97,136628,119046,338534,198569,309088,113272,87321,36017,1099.59,925.61,2643.26,1574.25,2612.26,898.33,717.26,300.67
90,91,use,v,1126042,1133.95,0.05,0.0,270507,0.97,174147,195473,92274,95433,68960,168245,106461,225049,1401.54,1519.85,720.47,756.59,582.82,1334.31,874.48,1878.69
91,92,tell,v,1119692,1127.56,0.07,0.01,230854,0.98,103321,107609,315669,173464,199281,98630,91607,30111,831.53,836.69,2464.73,1375.22,1684.22,782.21,752.47,251.36
96,97,find,v,1051936,1059.33,0.03,0.01,275832,0.99,136374,142946,173614,111062,129174,141065,102869,114832,1097.54,1111.44,1355.57,880.5,1091.72,1118.75,844.98,958.61
97,98,give,v,1048189,1055.55,0.08,0.01,275605,0.99,140948,142316,196870,134451,130953,112170,104041,86439,1134.36,1106.54,1537.15,1065.92,1106.75,889.59,854.6,721.59
106,107,need,v,945498,952.14,0.02,0.01,244037,0.99,150098,126921,228750,106945,84765,96297,78985,72737,1208.0,986.84,1786.07,847.86,716.39,763.71,648.79,607.2
109,110,should,v,920908,927.38,0.05,0.01,236459,0.99,154012,147712,156083,118201,74657,88417,78357,103469,1239.5,1148.5,1218.69,937.09,630.96,701.22,643.63,863.75
114,115,work,v,854095,860.1,0.03,0.01,249765,0.99,130814,115845,122821,115177,75981,114439,109866,69152,1052.8,900.72,958.98,913.12,642.15,907.59,902.45,577.27
120,121,try,v,795248,800.84,0.05,0.01,229052,0.98,110617,97802,144511,137801,117229,79986,79348,27954,890.25,760.43,1128.34,1092.48,990.76,634.35,651.77,233.36
